component_id,batch_id,profile_id,feature,uploaded_value,parsed_value,training_min,training_max,verdict,recommendation,predicted_final_value
MLCC_C003490,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ENGINEER_REVIEW,0.1075067925453186
MLCC_C000287,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,RETEST,0.09665672063827514
MLCC_C000889,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,RETEST,0.11062301874160767
MLCC_C001703,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,RETEST,0.08845315217971801
MLCC_C002798,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,MONITOR,0.058864449262619016
MLCC_C003360,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,MONITOR,0.09242226362228394
MLCC_C000039,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.008995152711868286
MLCC_C000125,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.014208516776561736
MLCC_C000372,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.022662529349327085
MLCC_C000397,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.013393833339214324
MLCC_C000413,MLCC_B029,SIM_X7R_10N_50V,voltage_stress_ratio,0.995600247909,0.995600247909,0.880188180206,0.9914218024279999,above training maximum by 0.00417845,ACCEPT,0.00846033364534378
