component_id,batch_id,component_family,measurement_name,upper_limit,profile_id,part_number,nominal_capacitance_nf,rated_voltage_v,package_code,dielectric,applied_voltage_v,voltage_stress_ratio,measurement_voltage_v,prior_storage_humidity_pct,tester_id,tester_channel,board_position,data_source,is_synthetic,generator_version,hours,measurement_value,temperature_c,measurement_temperature_c,capacitance_nf,dissipation_factor_pct,insulation_resistance_gohm
MLCC_C000062,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,55.6920622591,TESTER_3,11,165,synthetic,True,mlcc-synthetic-1.0.0,0,0.0194675427263,122.627761371,26.5854332302,95.4836186438,0.58255620036,2.53201016471
MLCC_C000062,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,55.6920622591,TESTER_3,11,165,synthetic,True,mlcc-synthetic-1.0.0,24,0.0176940511935,122.602667763,26.5854332302,94.7479062165,0.605505144599,2.78579594498
MLCC_C000090,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,56.6246159261,TESTER_3,8,123,synthetic,True,mlcc-synthetic-1.0.0,0,0.0215320121717,122.797934396,26.5854332302,97.8673226308,0.658127138751,2.28924336806
MLCC_C000090,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,56.6246159261,TESTER_3,8,123,synthetic,True,mlcc-synthetic-1.0.0,24,0.0182785928325,122.886544413,26.5854332302,97.153622779,0.63183933406,2.6967073733
MLCC_C000097,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,55.3750534389,TESTER_3,7,26,synthetic,True,mlcc-synthetic-1.0.0,0,0.0309906511693,122.633707007,26.5854332302,94.3334538824,0.814179688687,1.59054470316
MLCC_C000097,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,55.3750534389,TESTER_3,7,26,synthetic,True,mlcc-synthetic-1.0.0,24,0.0344677445288,122.866994077,26.5854332302,93.2131401682,0.899118017261,1.43009113996
MLCC_C000114,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,50.1369856847,TESTER_3,2,118,synthetic,True,mlcc-synthetic-1.0.0,0,0.0301385723632,122.767478764,26.5854332302,105.21620703,0.701890802501,1.63551264044
MLCC_C000114,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,50.1369856847,TESTER_3,2,118,synthetic,True,mlcc-synthetic-1.0.0,24,0.0286665350342,122.701061946,26.5854332302,104.830649783,0.663725992727,1.71949682814
MLCC_C000273,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,61.6964958881,TESTER_3,2,47,synthetic,True,mlcc-synthetic-1.0.0,0,0.0232878888496,122.741792487,26.5854332302,100.753003988,0.576708842607,2.11663738106
MLCC_C000273,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,61.6964958881,TESTER_3,2,47,synthetic,True,mlcc-synthetic-1.0.0,24,0.02392168774,122.806809609,26.5854332302,99.9693194698,0.633728023389,2.06055762456
MLCC_C000285,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,71.74382685,TESTER_3,1,44,synthetic,True,mlcc-synthetic-1.0.0,0,0.0220158078438,122.815196204,26.5854332302,102.008636841,0.604617411269,2.23893742236
MLCC_C000285,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,71.74382685,TESTER_3,1,44,synthetic,True,mlcc-synthetic-1.0.0,24,0.0224635837404,122.687674377,26.5854332302,101.209367851,0.575194975514,2.19430775759
MLCC_C000395,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,47.5991259498,TESTER_3,6,197,synthetic,True,mlcc-synthetic-1.0.0,0,0.0361397574029,122.721294277,26.5854332302,99.5558327299,0.723513814902,1.36392769645
MLCC_C000395,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,47.5991259498,TESTER_3,6,197,synthetic,True,mlcc-synthetic-1.0.0,24,0.0380330024321,122.848294809,26.5854332302,99.234167679,0.759037485806,1.29603273244
MLCC_C000434,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,52.0270493021,TESTER_3,1,97,synthetic,True,mlcc-synthetic-1.0.0,0,0.0255674982272,122.689960306,26.5854332302,97.0640805947,0.763082887598,1.927917062
MLCC_C000434,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,52.0270493021,TESTER_3,1,97,synthetic,True,mlcc-synthetic-1.0.0,24,0.0233334953836,122.589592487,26.5854332302,96.4023576497,0.70855586474,2.11250030288
MLCC_C000591,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,44.0640236174,TESTER_3,7,24,synthetic,True,mlcc-synthetic-1.0.0,0,0.0268713236678,122.715536263,26.5854332302,97.3582598364,0.698833387579,1.8343724587
MLCC_C000591,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,44.0640236174,TESTER_3,7,24,synthetic,True,mlcc-synthetic-1.0.0,24,0.0170629034331,122.831952963,26.5854332302,97.1363903308,0.686705404409,2.88884106145
MLCC_C000732,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,43.3486967757,TESTER_3,8,37,synthetic,True,mlcc-synthetic-1.0.0,0,0.0389555738955,122.851541866,26.5854332302,101.558218829,0.68161088528,1.26533923482
MLCC_C000732,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,43.3486967757,TESTER_3,8,37,synthetic,True,mlcc-synthetic-1.0.0,24,0.0464430844501,122.83226221,26.5854332302,101.498163832,0.698898643166,1.06134242909
MLCC_C000733,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,64.2005815026,TESTER_3,13,51,synthetic,True,mlcc-synthetic-1.0.0,0,0.0194819955717,122.668013374,26.5854332302,106.235407602,0.567629017216,2.53013177647
MLCC_C000733,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,64.2005815026,TESTER_3,13,51,synthetic,True,mlcc-synthetic-1.0.0,24,0.0257909165169,122.808317477,26.5854332302,105.296175854,0.591694774621,1.91121614591
MLCC_C000810,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,33.7282618559,TESTER_3,3,32,synthetic,True,mlcc-synthetic-1.0.0,0,0.0345973110919,122.494274886,26.5854332302,97.5207232646,0.735441228402,1.42473546381
MLCC_C000810,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,33.7282618559,TESTER_3,3,32,synthetic,True,mlcc-synthetic-1.0.0,24,0.0243617078104,122.77129422,26.5854332302,96.5831852048,0.727135777765,2.02333992545
MLCC_C000954,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,54.4856336084,TESTER_3,13,156,synthetic,True,mlcc-synthetic-1.0.0,0,0.0190881311984,122.841695073,26.5854332302,105.178438262,0.937296479168,2.58233849886
MLCC_C000954,MLCC_B002,MLCC_X7R,leakage_ua,0.25,SIM_X7R_100N_50V,FICTIONAL-MLCC-02,100,50,0805,X7R,45.6771751333,0.913543502666,49.292016065,54.4856336084,TESTER_3,13,156,synthetic,True,mlcc-synthetic-1.0.0,24,0.0169036285071,122.696953012,26.5854332302,104.331792842,0.990258088755,2.91606124946
